operational_code,classroom_id,course_name,faculty,eligible_n
CH 9,1arc26_0801,TEMAS DE URBANISMO 5,ARQUITECTURA Y URBANISMO,21
CH 18,2art47_0401,TALLER DE INVESTIGACIÓN FORMATIVA EN ARTE Y DISEÑO,ARTE Y DISEÑO,18
CH 88,1fin06_0721,INSTRUMENTOS FINANCIEROS,CIENCIAS SOCIALES,39
CH 124,1mat08_0304,CÁLCULO EN VARIAS VARIABLES,ESTUDIOS GENERALES CIENCIAS,64
CH 118,1mat06_b201,CÁLCULO DIFERENCIAL,ESTUDIOS GENERALES CIENCIAS,51
CH 136,1lin16_0210,TRABAJO ACADÉMICO,ESTUDIOS GENERALES CIENCIAS,29
CH 151,ant102_0202,ANTROPOLOGÍA,ESTUDIOS GENERALES LETRAS,51
CH 169,hum113_0226,ARGUMENTACIÓN,ESTUDIOS GENERALES LETRAS,16
